shot_id,x,y,outcome,body_part,set_piece,dist,ang,gol
6663716_197437,38.681,-10.958,S,R,,17.636397733097315,0.15348158014983188,False
6663880_200355,13.632,-6.378,O,R,,39.38781928464687,0.2610901466791557,False
6664012_203630,38.169,5.403,O,R,,15.315677262204245,0.18901262197061228,False
6664131_206238,27.766,-5.699,G,R,,25.38206762657448,0.2128445201874103,True
6663520_232532,4.138,-2.958,G,L,,48.452376701251715,0.24191020655876405,True
6663759_239225,29.865,-3.587,O,L,,22.917456097918027,0.21297895105156509,False
6663830_242036,30.543,-2.895,S,L,,22.14702855915439,0.21230341929898366,False
6665012_10904,35.042,-12.557,B,R,,21.504883468644977,0.15674522019593293,False
6665412_41576,32.104,-10.671,O,L,,23.018841347904548,0.17180620283626857,False
6665675_45351,29.429,3.676,O,L,,23.36202082440644,0.2402466849719961,False
6665219_61441,31.756,-2.961,S,R,,20.954261070245355,0.20568861855701756,False
6665490_63970,43.229,-2.892,G,L,,9.711596418715104,0.1590264994119185,True
6666052_73134,37.959,7.549,S,R,,16.383774961833428,0.19049445008840862,False
6664694_100770,48.009,9.995,O,HE,,10.957604939036631,0.15084489011725388,False
6664864_127908,32.13,5.973,O,L,,21.22766188255315,0.22362114970583846,False
6666122_146199,41.912,0.439,G,L,,10.597097008143317,0.16845587283538496,True
6665207_163518,43.098,-0.075,G,HE,,9.402299133722561,0.16351488933816932,True
6665326_167610,41.21,-13.45,B,L,,17.560370155551958,0.14070984391620195,False
6665809_181374,42.769,-4.901,B,L,,10.895511094023998,0.15693126781983963,False
6666336_196355,43.149,2.781,G,L,,9.755775827682797,0.1662395323741607,True
6665209_242975,36.334,-11.798,O,L,,20.013304574707295,0.1564909957299011,False
6665475_248245,40.456,-0.341,B,L,,12.04882637438186,0.17292894311872067,False
6665492_248285,41.109,0.495,B,R,,11.401750128817941,0.1715829286094459,False
6665693_251032,41.972,-6.465,C,R,,12.354554180544111,0.1561398339661164,False
6665827_253034,44.989,-6.686,B,L,,10.055730555260519,0.14725649707786356,False
6665926_254803,45.648,3.573,O,HE,,7.727627902532571,0.1579573280429858,False
6666210_259681,32.063,3.146,S,L,,20.67772436705741,0.22083464502939482,False
6666292_261232,24.747,0.924,B,L,,27.76837742829062,0.2704771191329689,False
6666316_262466,44.02,0.265,O,R,,8.484139614598522,0.16072532613516757,False
6667022_10440,38.791,0.717,S,HE,,13.727737249816522,0.18137447961991632,False
6667162_13944,45.921,3.565,O,HE,,7.482811370066735,0.15704156848129125,False
6667926_25641,39.26,15.51,B,L,,20.39258934024809,0.1768080775933575,False
6666971_35258,31.022,-19.473,O,L,,28.991416195143003,0.13433489791899114,False
6667593_48803,27.013,1.369,O,HE,,25.52374051740849,0.25290436377656095,False
6666604_57444,35.12,11.433,B,R,,20.80331437535856,0.20278224343028856,False
6666822_64425,42.85,7.585,O,L,,12.274148646647554,0.169188899797032,False
6666858_66028,22.579,12.365,S,R,,32.37529097938735,0.2994917182773474,False
6667096_72927,36.687,30.931,O,R,,34.73870651017392,0.14016275532883055,False
6667234_78019,46.144,1.103,G,HE,,6.450995659586202,0.15456291750531642,True
6667352_83023,35.643,-29.984,O,R,,34.397655516037716,0.09769907745704272,False
6667528_87678,31.615,5.55,O,L,,21.609852498339734,0.22683964063278464,False
6667362_97396,39.481,-4.713,S,HE,,13.845819946828717,0.16804708310494287,False
6667654_108279,14.007,21.453,O,R,,44.0674739235187,0.25339177887903447,False
6667742_112721,26.398,-0.7,O,HE,,26.11138456688959,0.24861017305905936,False
6666817_122797,35.761,1.685,O,R,,16.823594919041525,0.19713880242207746,False
6667427_136575,42.981,4.175,O,R,,10.39432470148975,0.16780774730605896,False
6667239_156803,30.02,2.578,S,L,,22.627339304478554,0.23355971136632245,False
6667904_171380,36.476,11.052,O,R,,19.4657463252761,0.1960499294467941,False
6667914_171945,20.963,-9.364,S,R,,32.89782462412978,0.2106060227460319,False
6668024_180806,4.448,2.597,S,R,,48.12212706229848,0.6583965798004678,False
6668055_183208,9.688,-2.711,O,HE,,42.897748950265445,0.34966436121374617,False
6668396_9029,34.521,-0.576,B,L,,17.988224398200064,0.1988400554464613,False
6668819_22158,43.362,1.031,S,HE,,9.19597765330038,0.16385135308363827,False
6668184_32576,27.438,-2.939,G,R,,25.233738625102706,0.22992251352385218,True
6668287_39321,32.703,-12.276,S,L,,23.29423501641554,0.16323204506665134,False
6668387_41773,17.433,-12.143,S,R,,37.1099304499483,0.18478184037895576,False
6669040_54380,18.079,-9.863,S,R,,35.80620071998703,0.20960195153953312,False
6668722_72819,40.98,5.117,O,L,,12.60531986900769,0.17626068082257304,False
6668210_96735,37.529,-7.521,S,R,,16.753993016591593,0.1670988043296564,False
6668239_97832,48.842,7.323,C,HE,,8.185798250628952,0.14876379567550688,False
6668663_104663,47.603,0.816,B,R,,4.9645206213691955,0.14982267697911175,False
6668740_109053,20.062,-1.872,G,R,,32.49197174687926,0.292889525174442,True
6668794_111355,29.341,-2.127,S,L,,23.256470282482677,0.22231057110837185,False
6669259_120087,36.976,-7.302,S,R,,17.15557576999385,0.16955156098045215,False
6668150_121071,34.333,-12.59,B,L,,22.103121702601197,0.15821665274802896,False
6668266_122804,27.487,-10.714,S,L,,27.211026533374298,0.1840625339540147,False
6668889_137689,42.608,4.129,O,HE,,10.719155983565127,0.1692069450811404,False
6669009_139747,41.746,14.914,B,L,,18.386840729173677,0.16812733918088793,False
6669158_140725,39.882,-5.347,O,R,,13.704172101954939,0.16520337473703064,False
6669287_147576,45.518,-6.28,O,HE,,9.39077866845982,0.14657703949704795,False
6668212_150286,43.715,-2.112,S,L,,9.035306801653165,0.15865505945262112,False
6668257_151684,45.671,2.97,G,HE,,7.446888007751964,0.15751993748491913,True
6668502_163229,18.993,1.084,O,R,,33.52452989976146,0.3348035639614339,False
6668763_171173,24.977,-5.346,O,R,,28.03739012461752,0.229030491730319,False
6669334_192913,40.0,-5.14,O,R,,13.515531806037082,0.16529172579800258,False
6712337_31294,48.447,10.136,O,HE,,10.916286227467653,0.14946123291179061,False
6713610_46960,32.589,20.111,F,R,,28.30018095348509,0.1922289401297548,False
6712229_57707,41.007,15.751,O,R,,19.498283257764005,0.16962083283470264,False
6712292_58813,7.305,7.233,L,L,,45.77012468849085,0.7863528893391599,False
6712356_62903,36.461,2.454,G,L,,16.22564750634008,0.1947492257508144,True
6713102_71870,30.645,2.431,G,R,,21.989788220899264,0.22885484464545308,True
6713298_76157,30.489,-9.891,B,R,,24.131224627026285,0.18009606717703888,False
6713326_78087,47.219,0.353,S,HE,,5.292784711283843,0.15057110040222596,False
6713535_83318,27.79,-5.982,B,R,,25.423776745401145,0.21111040497657693,False
6713550_83483,50.654,-6.449,O,R,,6.7080039505056925,0.13376331417314213,False
6712679_99864,22.852,-4.559,S,R,,29.996472875989937,0.24702860233068882,False
6713838_115432,41.765,7.292,S,L,,12.977422278711591,0.17350403447390542,False
6713870_116331,33.582,17.32,B,R,,25.649037486814198,0.1976070815597822,False
6712316_123882,41.004,-0.081,B,HE,,11.496285356583668,0.17119453793376224,False
6712995_136456,7.714,-12.621,G,R,,46.53037112467512,0.12289620937476978,True
6713096_142669,21.237,-3.664,S,L,,31.47697674491628,0.26551595392607336,False
6713336_147480,30.22,29.883,O,L,,37.27455015154442,0.15428988992400886,False
6712444_152429,32.983,21.379,O,R,,28.9477966346318,0.1856470011188338,False
6712991_160613,39.032,4.727,O,R,,14.273456238767121,0.18458892615540912,False
6713544_171728,16.265,3.201,S,L,,36.37611339876761,0.40011023229653875,False
6713836_179744,37.806,-10.451,O,L,,18.03155669929804,0.15727131350220067,False
6713924_183406,13.812,0.692,O,L,,38.69418829746917,0.40675266793800596,False
6719407_13103,41.283,-3.94,B,R,,11.888847252782751,0.16356085780576746,False
6719426_13169,42.144,-6.938,B,L,,12.465254911152039,0.15460795375477893,False
6719437_13246,49.074,8.068,G,L,,8.765278090283275,0.14803687322266115,True
6719951_22183,30.264,13.267,S,R,,25.893106901258488,0.22880117371363531,False
6718969_33676,40.283,-12.792,O,R,,17.688706934086504,0.14444364007263039,False
6719007_34609,39.793,12.483,O,L,,17.812724047713758,0.17897089452327247,False
6720049_50619,31.55,-16.042,B,R,,26.38651670834936,0.14874283023366391,False
6718799_59129,29.29,2.774,O,R,,23.375182908375283,0.23935769949648228,False
6718974_63098,29.12,4.978,B,R,,23.904076723437782,0.24475099151693763,False
6719075_66221,32.338,0.455,O,L,,20.16713338578391,0.2133028225844045,False
6719164_68114,45.311,9.654,C,R,,12.036670511399738,0.15974970810373834,False
6719174_68231,40.155,-1.335,O,L,,12.416974269120477,0.1724700134133754,False
6719538_75992,41.169,-1.239,O,R,,11.398538590538704,0.16881489825165916,False
6719841_83775,41.794,5.359,S,R,,11.972356367900183,0.17301280390156562,False
6719868_83951,31.459,2.661,O,R,,21.208597360504537,0.22387326334533933,False
6718991_96154,29.075,-10.548,B,R,,25.69028861262559,0.18075078443713902,False
6719324_106471,39.625,8.281,O,R,,15.308186894599897,0.1825674785977648,False
6719375_107308,17.631,1.755,O,R,,34.913137727795245,0.3610153071127617,False
6719756_118826,30.434,14.584,B,L,,26.449979432884252,0.22374682745397861,False
6719389_134955,44.346,-11.391,B,L,,14.008661499229685,0.13921406732124492,False
6719543_139344,39.076,-14.221,O,HE,,19.55608900061564,0.1426919669681264,False
6719809_143966,28.067,10.431,O,L,,26.56646852707375,0.2521554437917528,False
6719147_153461,42.32,8.803,B,R,,13.458276598435626,0.17106725185274613,False
6719156_153506,49.132,-4.158,G,R,,5.350924032351798,0.1403472784014674,True
6719711_165755,34.776,-4.82,O,HE,,18.367704701459022,0.1854688039907632,False
6719942_172430,43.932,13.488,S,L,,15.979260558611589,0.1619688448367818,False
6720103_178450,20.232,-2.87,B,R,,32.39538121399408,0.2809608679772851,False
6720109_178597,37.095,-7.578,B,R,,17.16799665074525,0.1683154663368467,False
6720128_179206,31.177,-7.667,B,L,,22.65950612877518,0.18845445581823295,False
6720142_180045,42.657,-4.177,B,R,,10.692613244665687,0.15863584663729433,False
6720145_180057,48.812,2.185,L,LK,,4.286673418864565,0.14724813305394427,False
